,Name,Album,Artist,mood
0,Sick Thoughts,Sick Thoughts,Lewis Blissett,Angry
1,Mo Bamba,MUDBOY,Sheck Wes,Angry
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,Angry
3,Foot Fungus,STOKELEY,Ski Mask The Slump God,Angry
4,Shhh (Pew Pew) - Slowed + Reverb,Shhh (Pew Pew) [Slowed + Reverb],Young Fanatic,Angry
5,Rasputin,Rasputin,Majestic,Angry
6,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,Angry
7,Whoopty,Whoopty,CJ,Angry
8,Streets,Hot Pink,Doja Cat,Angry
9,Goosebumps - Remix,Goosebumps (Remix),Travis Scott,Angry
10,Paparazzi,Paparazzi,Kim Dracula,Angry
11,hot girl bummer,hot girl bummer,blackbear,Angry
12,Runnin Low,Runnin Low,Kieran Alleyne,Angry
13,Моя голова винтом (My head is spinning like a screw),Моя голова винтом (My head is spinning like a screw),kostromin,Angry
14,Such a Whore (Stellular Remix),Such a Whore (Stellular Remix),JVLA,Angry
15,Such a Whore (Instrumental),Such a Whore (Instrumental),JVLA,Angry
16,Minimum - Umut Dogan Remix,Minimum (Umut Dogan Remix),Ямаджи,Angry
17,Минимум - The Sumo Remix,Минимум (Remix Pack),Ямаджи,Angry
18,Superlife,Superlife,Lox Chatterbox,Angry
19,Invincible,Meet The Woo 2,Pop Smoke,Angry
20,How She Walk,How She Walk,TheGrimLynn,Angry
21,Arabian Night,Arabian Night,Żwirek,Angry
22,Monster,Monster,Besomorph,Angry
23,PHONKY TOWN,PHONKY TOWN,PlayaPhonk,Angry
24,Goodbye (feat. Lyse) - Slow Version,Goodbye (feat. Lyse) [Slow Version],Feder,Angry
25,Blood // Water,Blood // Water,grandson,Angry
26,Fed Up,ANTI-ICON,Ghostemane,Angry
27,Kill Yourself (Part III),My Liver Will Handle What My Heart Can't,$uicideboy$,Angry
28,Venom - Music From The Motion Picture,Venom (Music From The Motion Picture),Eminem,Angry
29,The Electro Suite,The Amazing Spider-Man 2 (The Original Motion Picture Soundtrack) [Deluxe],Various Artists,Angry
